Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
733,Melyik tavi jelzés látható az ábrán?,Északi kardinális.,Különálló veszélyes helyeket jelző jel.,"A hajóút tengelyét, biztonságos vizeket jelző jel.",xxx-0431.jpg,2
734,Melyik irány felől lehet elhajózni az ábrán látható tavi jel mellett?,Mindig a hajó bal oldala felől.,Bármelyik irányból.,Délről.,teszt-0387.jpg,2
735,Mit jelez tavon éjszaka a két fehér színű felvillanásból álló fénycsoport?,"A korlátozott rendeltetésű vízterület határait, sarokpontjait jelöli.",A különálló veszélyes helyeket jelöli.,A hajóút tengelyét jelöli.,teszt-0415.jpg,2
736,Melyik irány felől lehet elhaladni az ábrán látható tavi jel mellett?,A hajó jobb oldala felől lehet elhajózni mellette.,A hajó bal oldala felől lehet elhajózni mellette.,Bármely oldalról.,teszt-0414.jpg,3
737,Melyik tavi jel látható az ábrán?,"Meghatározott rendeltetésű vízterületet (pl. vízi sportpálya, horgonyzóhely stb.) jelző jel.",Különálló veszélyes helyeket jelző jel.,"A hajóút tengelyvonalát, biztonságos vizeket jelző jel.",teszt-0419.jpg,3
738,"Válassza ki a meghatározott rendeltetésű terület (pl. vízi sportpálya, horgonyzóhely stb.) határát jelző jelet!",1.,2.,3.,teszt-0412.jpg,1
739,Mi a jelentése az ábrán látható tavi jelzéseknek?,Süllyedt hajó vagy egyéb tárgy a jelzések által körülhatárolt területen.,Hajózástól elzárt terület!,"Meghatározott rendeltetésű terület (pl. vízi sportpályát, horgonyzóhelyet stb.).",teszt-0443.jpg,2
740,Mit jelent az ábrán látható tavi úszó jel?,"Meghatározott rendeltetésű területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl.",A hajózás számára teljesen tiltott zónát határoló úszó jel!,Hajóút tengelyét jelzi.,zzz-0593.jpg,2
741,"Mit jelöl tavon éjszaka az ábrán látható vörös sávos jel, rajta egy merev háromszög alakú (vörös színű) zászlóval?",A hajózás számára teljesen tiltott terület határát jelöli.,"Meghatározott rendeltetésű területet (pl. vízi sportpályát, horgonyzóhelyet stb.) jelöl.",Kikötő behajózó csatornájának bal szélét jelöli.,teszt-0450.jpg,1
742,"Mi a jelentése a tavi úszó párnak (balról vörös-sárga úszó, jobbról zöld-sárga úszó)?","Kikötőhöz vezető csatorna széle, a tó felől közelítő hajó helyzetéből.","Tiltott vagy korlátozottan használható part menti zónán keresztül vezető csatorna bejárata, a nyílt víz felől közeledve.","Tóba torkolló hajózható csatorna széle, a csatorna felől közelítő hajó helyzetéből.",xxx-0438.jpg,2
743,"Mi a jelentése a balról vörös-sárga, jobbról zöld-sárga fényvisszaverő sávokkal ellátott tavi úszó párnak?","Kikötőhöz vezető csatorna széle, a tó felől közelítő hajó helyzetéből.","Tiltott vagy korlátozottan használható part menti zónán keresztül vezető csatorna bejárata, a nyílt víz felől közeledve.","Tóba torkolló hajózható csatorna széle, a csatorna felől közelítő hajó helyzetéből.",xxx-0439.jpg,2
744,"Nagyhajók fogadására is alkalmas tavi, kétmólós kikötő felé hajózik. Milyen jelzés észlelhető a jobboldali (X-el jelzett) mólószáron nappal?","Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.",xxx-0475.jpg,1
745,"Nagyhajók fogadására is alkalmas tavi, kétmólós kikötő felé hajózik. Milyen jelzés észlelhető a baloldali (X-el jelzett) mólón nappal?","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop.","Fekete-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.",xxx-0476.jpg,1
746,Milyen jelzéssekkel jelölik a nagyhajók kikötésére alkalmas tavi kétmólós kikötőt éjszaka? A tó felől nézve,"minden oldalról látható, jobbról villogó vörös, balról villogó zöld fények.",minden oldalról látható villogó fehér fények.,"minden oldalról látható, jobbról villogó zöld, balról villogó vörös fények.",,3
747,"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthető kikötő (Tihany) felé hajózik. Milyen kikötői jelzés észlelhető jobbról (az X-el jelzett helyen) nappal?","Zöld-fehér, 1,5 méter széles csíkozású jelzőoszlop.","Vörös-fehér, 1,5 méter széles csíkozású jelzőoszlop.","Vörös-zöld, 1,5 méter széles csíkozású jelzőoszlop.",xxx-0483.jpg,1
748,"Nagyhajók fogadására is alkalmas tavi, egymólós jobbról megközelíthető kikötő (Tihany) felé hajózik. Milyen kikötői fényjelzés észlelhető éjszaka jobbról (az X-el jelzet)t helyen?",Minden oldalról látható villanó vörös fény.,Minden oldalról látható villanó zöld fény.,Minden oldalról látható villanó fehér fény.,xxx-0484.jpg,2
749,"Nagyhajók fogadására alkalmas tavi, egymólós - balról megközelíthető - kikötő (Balatonakali) felé hajózik. Milyen kikötői jelzés észlelhető balról (az X-el jelzett helyen) nappal?","Zöld-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.",xxx-0485.jpg,2
750,"Nagyhajók fogadására alkalmas tavi, egymólós balról megközelíthető kikötő (Balatonakali) felé hajózik. Milyen kikötői fényjelzés észlelhető éjszaka balról (az X-el jelzett) helyen?",Minden oldalról látható villanó fehér fény.,Minden oldalról látható villanó vörös fény.,Minden oldalról látható villanó zöld fény.,xxx-0486.jpg,2
751,"Nagyhajók fogadására is alkalmas tavi, egymólós - bármilyen irányból megközelíthető - kikötő (Balatonfüred) felé hajózik. Milyen kikötői jelzés észlelhető az X-el jelzett helyen nappal?","Vörös-fehér, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop.","Vörös-zöld, 1,5 méter széles vízszintesen csíkozott jelzőoszlop.",xxx-0487.jpg,3
752,"Nagyhajók fogadására is alkalmas tavi, egymólós bármilyen irányból megközelíthető kikötő (Balatonfüred) felé hajózik. Milyen kikötői fényjelzés észlelhető éjszaka az X-el jelzett helyen?",Minden oldalról látható villanó sárga fény.,Minden oldalról látható villanó fehér fény.,Minden oldalról látható villanó vörös fény.,xxx-0488.jpg,2
753,Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kikötőt? A tó felől nézve,"1,0 m széles jobbról vörös-fehér csíkozású oszlop rajta vörös henger, balról zöld-fehér oszlop rajt zöld kúp, éjszaka a jelzőtesteket fehér fény világítja meg.","1,0 m széles fehér és fekete csíkozású oszlop, jobbról vörös hengerrel balról zöld kúppal, éjszaka a jelzőtesteket fehér fény világítja meg.","1,0 m széles jobbról zöld-fehér csíkozású oszlop rajta zöld kúp, balról vörös-fehér csíkozású oszlop rajta vörös henger, éjszaka a jelzőtesteket fehér fény világítja meg.",xxx-0489.jpg,3
754,Milyen jelzéssekkel jelölik a kishajók és csónakok kikötésére alkalmas tavi kétmólós kikötőt éjszaka? A tó felől nézve,"a jobb oldali oszlopon vörös henger, a bal oldali oszlopon zöld kúp, a jelzőtesteket fehér fény világítja meg.","a jobb oldali oszlopon vörös henger villogó vörös fénnyel, a bal oldali oszlopon zöld kúp zöld villogó fénnyel.","a jobb oldali oszlopon zöld kúp, a bal oldali oszlopon vörös henger, a jelzőtesteket fehér fény világítja meg.",xxx-0490.jpg,3
755,"Kishajók és csónakok fogadására alkalmas tavi, egymólós jobbról megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető jobbról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös hengerrel.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös-zöld vízszintes csíkozású gömbbel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén zöld kúppal.",xxx-0495.jpg,3
756,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós jobbról megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető éjszaka jobbról (az X-el jelzett) helyen?",Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.,Fehér fénnyel megvilágított zöld kúp.,Fehér fénnyel megvilágított vörös henger.,xxx-0496.jpg,2
757,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető balról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös hengerrel.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös-zöld vízszintes csíkozású gömbbel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén zöld kúppal.",xxx-0497.jpg,1
758,"Kishajók (és csónakok) fogadására alkalmas tavi, egymólós balról megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető éjszaka balról (az X-el jelzett) helyen?",Fehér fénnyel megvilágított zöld kúp.,Fehér fénnyel megvilágított vörös-zöld vízszintes csíkozású gömb.,Fehér fénnyel megvilágított vörös henger.,xxx-0498.jpg,3
759,"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető jobbról (az X-el jelzett helyen) nappal?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös hengerrel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén zöld kúppal.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös-zöld vízszintes csíkozású gömbbel.",xxx-0499.jpg,3
760,"Kishajók (és csónakok) fogadására alkalmas egymólós, kishajók és csónakok kikötésére alkalmas, bármilyen irányból megközelíthető kikötő felé hajózik. Milyen kikötői jelzés észlelhető jobbról (az X-el jelzett helyen)?","Vörös-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös hengerrel.","Zöld-fehér, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén zöld kúppal.","Vörös-zöld, 1,0 méter széles vízszintesen csíkozott jelzőoszlop, felső részén vörös-zöld vízszintes csíkozású gömbbel.",xxx-0500.jpg,3
761,Minek a jelzésére alkalmazzák tavon az ábrán látható úszó jeleket?,Kikötő bejáratához vezető csatorna kitűzésére a tó felől nézve.,"Tiltott, hajózástól elzárt parti zóna bejárata a tó felől nézve.","Meghatározott rendeltetésű területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó felől nézve.",xxx-0501.jpg,1
762,Hol alkalmazzák tavon éjszaka a balról vörös jobbról zöld villanó fénnyel ellátott úszó jeleket?,Kikötő bejáratához vezető csatorna kitűzésére a tó felől nézve.,"Tiltott, hajózástól elzárt parti zóna bejárata a tó felől nézve.","Meghatározott rendeltetésű területet (pl. vízi sportpályát, horgonyzóhelyet stb.) bejárata a tó felől nézve.",xxx-0504.jpg,1
763,Mit jelent a hajón látható csúcsával lefelé néző kék kúp? A hajó,egészségre ártalmas árut szállít.,robbanásveszélyes árut szállít.,gyúlékony árut szállít.,teszt-0795.jpg,3
764,Mit jelöl a hajón látható 2 db kék kúp?,A két kék kúp a radioaktív anyagot szállító hajó nappali megkülönböztető jelzése.,Többféle (folyékony és darab) árut szállító hajó megkülönböztető jelzése.,A két kék kúp az egészségre ártalmas árut szállító hajó nappali megkülönböztető jelzése.,teszt-0799.jpg,3
765,Mit jelöl a hajón látható három kék kúp? A három kék kúp,a radioaktív anyagot szállító hajó nappali megkülönböztető jelzése.,többféle (folyékony és darab) árut szállító hajó megkülönböztető jelzése.,a robbanásveszélyes árut szállító hajó nappali megkülönböztető jelzése.,teszt-0915.jpg,3
766,"Mire következtet, ha egy hajón 1 db fekete gömböt lát nappal?",Nyílt helyen veszteglő magányos hajó.,A hajó műveletképességében korlátozott.,A hajó vészjelzést ad.,,1
767,"Válassza ki, hogy az ábrán látható jelzőeszközök közül melyiket, mennyit és hogyan lehet elhelyezni egy műveletképességében korlátozott hajón nappal? Függőleges vonalban","2 db 3 és 1 db 1 úgy, hogy a legfelső és a legalsó gömb, míg a középső henger.","2 db 4 és 1 db 3 úgy, hogy a legfelső és a legalsó kettős kúp, míg a középső gömb.","2 db 3 és 1 db 4 úgy, hogy a legfelső és a legalsó gömb, míg a középső kettős kúp.",teszt-1459.jpg,3
768,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette? Menetben lévő",manőverképességében korlátozott hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldalon lehetséges.,hullámzás elleni védelemre szoruló hajó. Az elhajózás mindkét oldalon lehetséges.,kormányképtelen hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldallal ellentétes oldalon lehetséges.,xxx-3680.jpg,2
769,Mit jelent a hajón látható zöld lobogó?,A menetrend szerinti forgalomban közlekedő személyhajó kikötő térségében más hajótól közlekedésének elősegítését kéri.,"A személyhajó csak díszként viseli a zöld lobogót, annak nincs jelentése.","A zöld lobogóval elsőbbséget kér kikötéskor, más személyhajóktól.",xxx-2387.jpg,1
770,Állapítsa meg milyen menetben lévő úszólétesítmény(ek) fényei láthatók az ábrán?,"110 méter hosszúságot, illetve 12 méter szélességet meghaladó egyoszlopos tolt kötelék bal oldalát mutatja.","Két egymás elé csatolt, 110 méter hosszúságot, illetve 12 méter szélességet meghaladó géphajó.","110 méter hosszúságot, illetve 12 méter szélességet meghaladó többoszlopos tolt kötelék bal oldalát mutatja.",xxx-3562.jpg,1
771,"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elérő kisgéphajónak az alábbiak közül?","Árbocfényt lehetőleg 1 m-rel az oldalfények felett, oldalfényeket, egy fehér farfényt.",Egy minden oldalról látható fehér fényt.,"Árbocfényt az oldalfények alatt, oldalfényeket, egy fehér farfényt.",xxx-3568.jpg,1
772,"Milyen fényeket kell viselnie a menetben, a 7 m hosszúságot elérő kisgéphajónak az alábbiak közül?",Egy minden oldalról látható fehér fényt.,"Árbocfényt, lehetőleg 1 m-rel az oldalfények felett, oldalfényeket egymás mellett a hajó orrán vagy annak közelében, egy fehér farfényt.","Árbocfényt az oldalfények alatt, oldalfények, egy fehér farfényt.",xxx-3520.jpg,2
773,Milyen fényt vagy fényeket viselhet a 7 méternél rövidebb kisgéphajónak éjszaka menetben?,"Árbocfényt legalább 1 m-rel az oldalfények felett, oldalfényeket a hajó szélső pontjain.",Egy minden oldalról látható fehér fényt.,"Árbocfényt az oldalfények alatt, oldalfényeket a hajó szélső pontjain, egy fehér farfényt.",xxx-1005.jpg,2
774,Milyen fényeket viselhetnek éjszaka menetben a kizárólag kishajókból álló vontatott kötelék kishajói?,"Kisgéphajónak minden oldalról látható fehér fényt (az árbocfény helyén az árboc és farfény helyett) oldalfényeket, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.","Kisgéphajónak árbocfényt, oldalfényeket és farfényt (amelyek összevonhatók az árbocfény felett), a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható sárga fényt.","Kisgéphajónak árbocfényt (lehetőleg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a vontatott kishajónak vagy a vontatott kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.",xxx-3574.jpg,1
775,Milyen fényeket kell viselnie éjszaka menetben a kizárólag kishajókból álló mellévett alakzat kishajóinak?,A kisgéphajónak és a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.,"Kisgéphajónak árbocfényt (lehetőleg 1 m-rel az oldalfények felett), oldalfényeket és egy sárga farfényt, a továbbított kishajónak vagy kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.","Kisgéphajónak árbocfényt (lehetőleg 1 m-rel az oldalfények felett), oldalfényeket és egy fehér farfényt, a továbbított kishajónak vagy a továbbított kishajók mindegyikének egy-egy minden oldalról látható fehér fényt.",xxx-3575.jpg,3
776,Milyen hajó közeledésére számít az ábrán látható fényeket észleve?,Vitorlás hajó (ami nem kishajó) a jobb oldalát mutatja.,Vitorla mellett gépi erőt is használó vitorlás hajó jobb oldalát mutatja.,Vitorlás kishajó a jobb oldalát mutatja.,xxx-3503.jpg,3
777,Milyen hajó közeledésére számít az ábrán látható fényeket észleve?,Vitorla mellett gépi erőt is használó vitorlás hajó bal oldalát mutatja.,Vitorlás hajó (ami nem kishajó bal oldalát mutatja.,Vitorlás kishajó bal oldalát mutatja.,teszt-2416.jpg,3
778,"Milyen hajót lát, ha annak árboc csúcsán egy fehér fényt és egy felmutatott fehér fényt is észlel?","7 méternél kisebb testhosszúságú, vitorlával haladó kishajó.",Veszélyben lévő vitorlás kishajó.,"Legalább 7 méter hosszúságú, saját gépi erőt is használó vitorlás kishajó.",teszt-2464.jpg,1
779,"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?",Vitorlás hajó (ami nem kishajó) a bal oldalát mutatja.,Vitorla mellett gépi erőt is használó vitorlás kishajó.,Vitorlás kishajó a bal oldalát mutatja.,teszt-2373.jpg,2
780,"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?","Vitorlával haladó 20 méternél kisebb testhosszúságú, 12 főnél több utas szállítására engedéllyel rendelkező hajó.",Vitorlával haladó kishajónak nem tekinthető hajó.,Vitorla mellett saját gépi erőt is használó kishajó.,teszt-2502.jpg,3
781,"Milyen hajó közeledésére számít, ha annak mellső részén az ábrán látható fényeket észleli?",Vitorlával haladó kishajó.,Vitorla mellett saját gépi erőt is használó kishajó.,Kishajónak nem tekinthető vitorlás hajó.,xxx-2711.jpg,1
782,"Milyen hajó közeledésére számít, ha azon az ábrán látható fényeket észleli?",Vitorlával haladó kishajó.,Vitorla mellett saját gépi erőt is használó kishajó.,Kishajónak nem tekinthető vitorlás hajó.,teszt-1899.jpg,1
783,"Milyen vízi jármű közeledésére számít, ha arról egy fehér fényt mutatnak fel?",7 méternél kisebb testhosszúságú vitorlával haladó kishajóra.,"Egy olyan csónak, amely vitorlával halad, vagy vitorla mellett gépi erőt is használ, esetleg evezővel hajtják.",Saját gépi erőt is használó vitorlás kishajó.,xxx-2715.jpg,2
784,"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?",Vitorlával haladó kishajó.,Vitorlával haladó kishajónak nem tekinthető hajó.,Vitorla mellett saját gépi erőt is használó kishajó.,teszt-1891.jpg,3
785,"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?",7 méternél kisebb testhosszúságú vitorlával haladó kishajóra.,"Kishajónak nem tekinthető olyan hajó, amely vitorla mellett gépi erőt is használ.",7 méternél kisebb testhosszúságú vitorla mellett saját gépi erőt is használó kishajó.,xxx-2703.jpg,3
786,"Milyen hajó közeledésére számít, ha az ábrán látható fényeket észleli?",Vitorlával haladó kishajó.,Vitorla mellett saját gépi erőt is használó kishajó.,Vitorla mellett saját gépi erőt is használó kishajónak nem tekinthető hajó.,xxx-2348.jpg,3
787,"Milyen hajó közeledésére számít, ha azon az ábrán látható (árboc-, oldal- és két felül vörös, alatta fehér) fényeket észleli","Víziúton munkát vagy szondázást, illetve mérést végző menetben lévő géphajó.",Menetben lévő hullámzás elleni védelemre szoruló géphajó.,Menetben lévő kormányképtelen géphajó vagy révkalauzi szolgálatot ellátó hajó.,xxx-3725.jpg,2
788,"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",7 méternél hosszabb testhosszúságú vitorlás hajó szemből.,110 méter hosszúságot meg nem haladó géphajó szemből.,"olyan kishajónak nem tekinthető hajókból álló mellévett alakzat, amelynek a szélessége meghaladja a 12 métert szemből.",xxx-0815.jpg,2
789,"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",110 méter hosszúságot meghaladó géphajó jobb oldalát mutatja.,kishajónak nem tekinthető vitorlás hajó jobb oldalát mutatja.,110 méter hosszúságot meg nem haladó géphajó jobb oldalát mutatja.,xxx-0816.jpg,3
790,"Milyen úszólétesítmény(ek) közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",kishajónak nem tekinthető géphajó jobb oldalát mutatja.,kishajónak nem tekinthető géphajó bal oldalát mutatja.,"két kishajónak nem tekinthető hajóból álló, 110 méter hosszt, illetve 12 méter szélességet meg nem haladó méretű mellévett alakzat bal oldalát mutatja.",teszt-0684.jpg,2
791,"Milyen úszólétesítmény(ek) közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő","olyan tolt kötelék szemből, amelynek a legnagyobb hosszúsága a 110 métert, szelessége pedig a 12 métert nem haladja meg.",110 méter hosszúságot meg nem haladó géphajó szemből.,egyoszlopos tolt kötelék szemből.,teszt-0778.jpg,3
792,"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",szabadon közlekedő komp szemből.,műveletképtelen hajó jobb oldalát mutatva.,kishajónak nem tekinthető vitorlás hajó szemből.,xxx-0970.jpg,3
793,"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",vitorlás kishajó szemből.,kishajónak nem tekintető vitorlás hajó szemből.,két vitorlás kishajó oldalról.,xxx-0975.jpg,2
794,"Milyen úszólétesítmény közeledésére számít, ha azon az ábrán látható fényeket észleli? Menetben lévő",halászati tevékenységet végző hajó jobb oldalát mutatva.,két vitorlás kishajó jobb oldalát mutatva.,kishajónak nem tekintető vitorlás hajó jobb oldalát mutatva.,xxx-0977.jpg,3
795,"Milyen úszólétesítményre számíthat, ha az ábrán látható fényeket észleli?","Gyorsjáratú hajó, amely elsőbbségi jelzését használja.","Menetben lévő szabadon közlekedő kompra, vagy valamilyen halászati tevékenységet végző 50 méternél hosszabb hajó.","Menetben lévő szabadon közlekedő komp, vagy 50 méternél kisebb hosszúságú vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó.",xxx-0721.jpg,3
796,Milyen hajóra számíthat egy zöld fényt észlelve?,Vitorlás hajó jobb oldalát mutatja.,Vitorlás hajó bal oldalát mutatja.,7 méternél kisebb vitorlás kishajó szemből.,xxx-1469.jpg,1
797,"Milyen hajót tud azonosítani, ha azon a rajzon látható jelzőtesteket (két fekete gömb és egy sárga kettőskúp) látja?","Műveletképtelen, 20 méternél rövidebb 12 főnél több utas szállítására engedéllyel rendelkező hajó.","Mellette való elhaladás tilalmát jelző, 20 méternél rövidebb 12 főnél több utas szállítására engedéllyel rendelkező hajó.","Manőverképességében korlátozott, 20 méternél rövidebb 12 főnél több utas szállítására engedéllyel rendelkező hajó.",xxx-3590.jpg,1
798,Milyen kötelezettség hárul a kishajó vezetőjére induláskor az alábbiak közül?,Indulás előtt köteles különös figyelmet fordítani a hajó melletti vízterületekre (látási holttér).,Indulási szándékára szükség esetén hangos kiáltással köteles figyelmeztetni a többi kishajót.,Indulási szándékára szükség esetén egy rövid hangjellel köteles figyelmeztetni a többi kishajót.,,1
799,"Folytassa a mondatot! Kishajóval parttól vagy kikötőhelyről elindulni, és menetirányt változtatni","csak csökkentett sebességgel, és a partra merőlegesen szabad.","csak akkor szabad, ha az a víziközlekedés más résztvevőit nem akadályozza.","csak akkor szabad, ha az a vízi közlekedés más résztvevőit nem zavarja, és vízben tartózkodó személyt nem veszélyeztet.",,3
800,"Milyen előírás vonatkozik vitorlával haladó kishajó, valamint evezővel hajtott kishajó közlekedésére vízben tartózkodó személy közelében? Mentés kivételével","legalább 10 m távolságban úgy kell kikerülni, hogy az a vízijármű, és a legközelebbi part között maradjon.","úgy kell kikerülni, hogy az a vízijármű, és a legközelebbi part között maradjon.",legalább 20 m távolságban kell kikerülni.,xxx-3940.jpg,1
801,Milyen előírás vonatkozik evezővel hajtott kishajó közlekedésére vízben tartózkodó személy közelében? A vízben tartózkodót a vízijármű közeledésére,"szükség esetén hangjelzéssel is figyelmeztetni kell és a sebességet olyan mértékre kell csökkenteni, hogy az ne okozzon műveletezési nehézséget.","szükség esetén kiáltással is figyelmeztetni kell és a sebességet olyan mértékre kell csökkenteni, hogy az ne okozzon hullámzást a vízben tartózkodó közelében.",kiáltással is figyelmeztetni kell és a sebességet a kormányképesség mértékéig kell csökkenteni.,xxx-3943.jpg,2
802,Milyen előírás vonatkozik gépi erővel haladó kishajó közlekedésére vízben tartózkodó személy közelében? Mentés kivételével,"30 m távolságban úgy kell elhaladni mellette, hogy a vízben lévő személy a közelebbi part vagy az őt kísérő vízijármű között maradjon.","10 m távolságban csökkentett sebességgel úgy kell elhaladni mellette, hogy hullámkeltéssel ne veszélyeztessük.",vízben lévő személyt minden esetben legalább 20 méter távolság megtartásával jobbról kell kerülni.,,1
803,"Milyen előírás vonatkozik gépi erővel haladó kishajó vízben tartózkodó személy közelében történő elhaladására, ha az előírt 30 méteres távolság a vízterület méretei miatt nem tartható?",A vízben tartózkodó körüli 30 m sugarú kör területén legfeljebb 5 km/h sebességgel szabad elhaladni a vízben tartózkodó zavarása nélkül.,"Meg kell állni, amíg a vízben lévő személy legalább 30 méter távolságra eltávolodik.",A vízben tartózkodó körüli 10 m sugarú kör területén legfeljebb 10 km/h sebességgel szabad elhaladni a vízben tartózkodó zavarása nélkül.,xxx-3946.jpg,1
804,"Mikor engedhető meg kishajók, csónakok és vízi sporteszközök egymás közötti találkozása vagy előzése? A találkozás vagy előzés akkor megengedett, ha","a víziút valamennyi helyi körülményt, és más hajók mozgását is figyelembe véve kétséget kizáróan elegendő az egyidejű áthaladásához.","a hajóút szélessége valamennyi helyi körülményt, és más hajók mozgását is figyelembe véve kétséget kizáróan elegendő az egyidejű áthaladásához.",az nyilvánvalóan veszély nélkül végrehajtható.,,2
805,"Milyen előírás vonatkozik az összeütközés minden veszélyét kizáró irányban haladó kishajók, csónakok és vízi sporteszközök egymás közötti találkozására és előzésére?",A találkozás vagy előzés befejezéséig kötelesek megtartani menetirányukat és sebességüket.,"Nem változtathatják meg sem menetirányukat, sem menetsebességüket úgy, hogy ezzel az összeütközés veszélyét idézzék elő.","Legalább 30 méter távolságot kell egymástól tartaniuk, ha a távolság nem tartható a helyi körülmények miatt csökkenteniük kell sebességüket.",,2
806,"Gépi erővel haladó kishajóval hajózva mit kell tennie, ha közeledve a tábla hatálya alá tartozó víziút-szakaszhoz Önnel szemben közeledő másik gépi erővel haladó kishajót észlel? Mivel a tábla tiltja a találkozást és az előzést","a kishajónak nem tekinthető hajók számára, folytathatom utam, jobbra tartva bal oldalunk felől elhaladva egymás mellett.","nem hajózhatok be a szakaszra. Megállással vagy sebességem csökkentésével meg kell várnom, hogy a másik kishajó kihajózzon onnan.",határozott irányváltoztatással elkerülöm a találkozást és elhajózok a másik mellett jobbról vagy balról.,xxx-3990.jpg,2
807,Összeütközés veszélye esetén milyen általános szabály vonatkozik gépi erővel haladó kishajó és egy evezővel hajtott kishajó találkozására a Szabályzat I. része alapján?,"Mindkettő úgy köteles jobbra kitérni, hogy bal oldalukkal haladhassanak egymás mellett el.","Mindkettő úgy köteles balra kitérni, hogy jobb oldalukkal haladhassanak egymás mellett el.",A hegymenetben haladó köteles kitérni a völgymenetben haladó útjából.,,1
